AnimalID,SireID,DamID,FamilyID,SexID,TankID,M1BW,M2BW,M2Age
13G1001662,12G000K453,12G000W041,13F1306029,Male,T1,3.5,23,212
13G1001647,12G000K453,12G000W041,13F1306029,Female,T1,3.5,25.6,212
13G1001657,12G000K453,12G000W041,13F1306029,Female,T1,3.5,28.5,212
13G100208I,12G000K453,12G000W041,13F1306029,Female,T1,3.5,33.2,212
13G100286I,12G000K453,12G000W041,13F1306029,Female,T1,3.5,34.2,212
13G100288I,12G000K453,12G000W041,13F1306029,Female,T1,3.5,34.6,212
13G100710I,12G000V596,12G000K693,13F1306714,Female,T1,3.58,24.3,222
13G100797I,12G000V596,12G000K693,13F1306714,Female,T1,3.58,26.7,222
13G100408J,12G000K453,12G000W041,13F1306029,Male,T1,3.76,26.1,213
13G100430J,12G000K453,12G000W041,13F1306029,Male,T1,3.76,26.2,213
13G100470J,12G000K453,12G000W041,13F1306029,Male,T1,3.76,27.3,213
13G1003999,12G000K453,12G000W041,13F1306029,Female,T1,3.76,28.3,213
13G1003982,12G000K453,12G000W041,13F1306029,Female,T1,3.76,31,213
13G1003221,12G000K663,12G000M368,13F1306028,Male,T1,3.946666667,26.6,214
13G1002353,12G000V596,12G000K693,13F1306714,Female,T1,3.946666667,30.3,223
13G1003199,12G000K663,12G000M368,13F1306028,Female,T1,3.946666667,32.7,214
13G100442I,12G000K663,12G000M368,13F1306028,Female,T1,3.946666667,34.1,214
13G100445I,12G000K663,12G000M368,13F1306028,Female,T1,3.946666667,36,214
13G100470I,12G000K663,12G000M368,13F1306028,Female,T1,3.946666667,37.7,214
13G100403I,12G000K663,12G000M368,13F1306028,Female,T1,3.946666667,39.2,214
13G1003902,12G000M347,12G000M423,13F1306046,Male,T1,4.113333333,24.9,215
13G1003897,12G000M347,12G000M423,13F1306046,Male,T1,4.113333333,25.1,215
13G1003918,12G000M347,12G000M423,13F1306046,Female,T1,4.113333333,27.7,215
13G100406J,12G000M347,12G000M423,13F1306046,Male,T1,4.113333333,31.1,215
13G1003905,12G000M347,12G000M423,13F1306046,Male,T1,4.113333333,31.2,215
13G1003908,12G000M347,12G000M423,13F1306046,Male,T1,4.113333333,33.7,215
13G100447J,12G000M347,12G000M423,13F1306046,Female,T1,4.113333333,34,215
13G1003368,12G000M347,12G000M423,13F1306046,Male,T1,4.193333333,24.5,214
13G1003372,12G000M347,12G000M423,13F1306046,Male,T1,4.193333333,26.5,214
13G100460I,12G000M347,12G000M423,13F1306046,Male,T1,4.193333333,28.6,214
13G1003367,12G000M347,12G000M423,13F1306046,Female,T1,4.193333333,29.3,214
13G1003404,12G000M347,12G000M423,13F1306046,Female,T1,4.193333333,31.7,214
13G1003406,12G000M347,12G000M423,13F1306046,Female,T1,4.193333333,33.1,214
13G100459I,12G000M347,12G000M423,13F1306046,Female,T1,4.193333333,35.7,214
13G100471I,12G000M347,12G000M423,13F1306046,Female,T1,4.193333333,36.4,214
